,gender,new_location,mixed_attitude,economic_inflation,cost_of_living,income,redundancy,new_car,policy_war,good_mood,bad_mood,treatment/control
167,0,southeast,Slightly Negative,1,1,1,1,1,1,1,1,0
168,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
169,1,london,Neutral,1,1,1,1,1,1,1,1,0
170,0,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
171,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
172,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
173,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
174,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
175,1,scotland,Slightly Negative,1,1,1,1,1,1,1,1,0
176,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
177,1,east midland,Slightly Negative,1,1,1,1,1,1,1,1,0
178,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
179,0,wales,Neutral,1,1,1,1,1,1,1,1,0
180,1,southwest,Slightly Negative,1,1,1,1,1,1,1,1,0
181,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
182,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
183,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
184,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
185,1,west midland,Slightly Positive,1,1,1,1,1,1,1,1,0
186,1,west midland,Neutral,1,1,1,1,1,1,1,1,0
187,1,wales,Slightly Negative,1,1,1,1,1,1,1,1,0
188,1,northwest,Slightly Positive,1,1,1,1,1,1,1,1,0
189,0,northwest,Slightly Negative,1,1,1,1,1,1,1,1,0
190,1,northern ireland,Slightly Positive,1,1,1,1,1,1,1,1,0
191,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
192,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
193,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
194,0,east midland,Neutral,1,1,1,1,1,1,1,1,0
195,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
196,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
197,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
198,1,northeast,Slightly Positive,1,1,1,1,1,1,1,1,0
199,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
200,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
201,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
202,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
203,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
204,1,scotland,Slightly Positive,1,1,1,1,1,1,1,1,0
205,1,northeast,Neutral,1,1,1,1,1,1,1,1,0
206,1,east midland,Neutral,1,1,1,1,1,1,1,1,0
207,0,southeast,Neutral,1,1,1,1,1,1,1,1,0
208,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
209,1,southeast,Slightly Positive,1,1,1,1,1,1,1,1,0
210,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
211,1,milton keynes,Slightly Positive,1,1,1,1,1,1,1,1,0
212,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
213,1,wales,Slightly Negative,1,1,1,1,1,1,1,1,0
214,1,london,Neutral,1,1,1,1,1,1,1,1,0
215,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
216,0,southeast,Slightly Negative,1,1,1,1,1,1,1,1,0
217,1,scotland,Slightly Positive,1,1,1,1,1,1,1,1,0
218,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
219,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
220,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
221,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
222,0,yorkshire,Slightly Negative,1,1,1,1,1,1,1,1,0
223,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
224,1,bournemouth,Neutral,1,1,1,1,1,1,1,1,0
225,1,wales,Slightly Positive,1,1,1,1,1,1,1,1,0
226,1,northeast,Neutral,1,1,1,1,1,1,1,1,0
227,1,london,Slightly Negative,1,1,1,1,1,1,1,1,0
228,1,east midland,Neutral,1,1,1,1,1,1,1,1,0
229,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
230,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
231,1,southwest,Slightly Positive,1,1,1,1,1,1,1,1,0
232,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
233,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
234,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
235,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
236,0,other towns and places,Extremely Negative,1,1,1,1,1,1,1,1,0
237,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
238,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
239,1,southeast,Slightly Negative,1,1,1,1,1,1,1,1,0
240,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
241,1,east midland,Neutral,1,1,1,1,1,1,1,1,0
242,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
243,1,east midland,Neutral,1,1,1,1,1,1,1,1,0
244,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
245,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
246,1,london,Slightly Negative,1,1,1,1,1,1,1,1,0
247,1,london,Slightly Negative,1,1,1,1,1,1,1,1,0
248,1,southwest,Slightly Positive,1,1,1,1,1,1,1,1,0
249,1,scotland,Extremely Positive,1,1,1,1,1,1,1,1,0
250,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
251,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
252,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
253,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
254,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
255,1,london,Slightly Negative,1,1,1,1,1,1,1,1,0
256,0,east midland,Slightly Positive,1,1,1,1,1,1,1,1,0
257,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
258,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
259,1,london,Slightly Positive,1,1,1,1,1,1,1,1,0
260,1,wales,Slightly Negative,1,1,1,1,1,1,1,1,0
261,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
262,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
263,0,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
264,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
265,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
266,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
267,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
268,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
269,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
270,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
271,0,london,Slightly Negative,1,1,1,1,1,1,1,1,0
272,1,scotland,Neutral,1,1,1,1,1,1,1,1,0
273,1,yorkshire,Slightly Positive,1,1,1,1,1,1,1,1,0
274,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
275,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
276,0,scotland,Slightly Negative,1,1,1,1,1,1,1,1,0
277,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
278,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
279,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
280,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
281,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
282,1,scotland,Extremely Positive,1,1,1,1,1,1,1,1,0
283,1,scotland,Neutral,1,1,1,1,1,1,1,1,0
284,1,southwest,Extremely Negative,1,1,1,1,1,1,1,1,0
285,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
286,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
287,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
288,1,london,Neutral,1,1,1,1,1,1,1,1,0
289,0,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
290,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
291,0,west midland,Slightly Positive,1,1,1,1,1,1,1,1,0
292,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
293,1,scotland,Slightly Negative,1,1,1,1,1,1,1,1,0
294,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
295,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
296,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
297,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
298,1,london,Neutral,1,1,1,1,1,1,1,1,0
299,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
300,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
301,1,london,Neutral,1,1,1,1,1,1,1,1,0
302,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
303,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
304,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
305,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
306,1,london,Slightly Positive,1,1,1,1,1,1,1,1,0
307,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
308,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
309,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
310,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
311,1,west midland,Extremely Negative,1,1,1,1,1,1,1,1,0
312,1,london,Neutral,1,1,1,1,1,1,1,1,0
313,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
314,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
315,1,london,Neutral,1,1,1,1,1,1,1,1,0
316,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
317,0,london,Extremely Negative,1,1,1,1,1,1,1,1,0
318,0,yorkshire,Slightly Positive,1,1,1,1,1,1,1,1,0
319,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
320,1,other towns and places,Extremely Negative,1,1,1,1,1,1,1,1,0
321,1,london,Extremely Positive,1,1,1,1,1,1,1,1,0
322,0,london,Slightly Positive,1,1,1,1,1,1,1,1,0
323,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
324,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
325,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
326,1,southeast,Neutral,1,1,1,1,1,1,1,1,0
327,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
328,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
329,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
330,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
331,0,london,Slightly Positive,1,1,1,1,1,1,1,1,0
332,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
333,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
334,1,wales,Neutral,1,1,1,1,1,1,1,1,0
335,1,east midland,Slightly Positive,1,1,1,1,1,1,1,1,0
336,1,east midland,Neutral,1,1,1,1,1,1,1,1,0
337,0,northwest,Neutral,1,1,1,1,1,1,1,1,0
338,1,scotland,Neutral,1,1,1,1,1,1,1,1,0
339,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
340,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
341,0,west midland,Slightly Negative,1,1,1,1,1,1,1,1,0
342,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
343,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
344,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
345,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
346,1,yorkshire,Extremely Negative,1,1,1,1,1,1,1,1,0
