,flair sentiment
553,-0.506699065
554,0.823210133
555,-0.917223072
556,-0.999543292
557,-0.684732987
558,-0.798925885
559,-0.840345016
560,0.829968894
561,-0.697367612
562,-0.99337148
563,-0.677208635
564,0.578427327
565,-0.735696666
566,-0.912448384
567,-0.92407178
568,0.606223313
569,-0.702479854
570,-0.8872872
571,-0.891270785
572,-0.921947332
573,0.818350506
574,-0.91902141
575,-0.930114245
576,-0.72003735
577,-0.916282118
578,0.998602815
579,-0.998490218
580,-0.999194056
581,-0.995273952
582,-0.621732002
583,0.985827279
584,-0.742197329
585,-0.52113501
586,-0.996446776
587,-0.762746672
588,-0.561860378
589,0.906817563
590,-0.770565422
591,0.925856707
592,0.998779669
593,-0.995678801
594,-0.791545722
595,0.939785695
596,-0.990374626
597,-0.588941558
598,-0.757041581
599,-0.936116238
600,-0.998168341
601,0.928838659
602,-0.918742391
603,-0.741630587
604,-0.986800301
605,-0.887458033
606,-0.619607912
607,-0.840790697
608,-0.816851095
609,0.943056979
610,-0.623677331
611,-0.549464239
612,-0.531729055
613,0.531083036
614,-0.890791189
615,-0.809725335
616,-0.75410791
617,-0.936183415
618,-0.93847047
619,0.59773041
620,-0.867070106
621,-0.998540526
622,-0.745840202
623,-0.813206852
624,0.960468915
625,-0.990856011
626,0.904579386
627,0.932310639
628,0.91285073
629,0.565700907
630,-0.705811936
631,0.938108597
632,-0.998352765
633,-0.968821742
634,-0.637641667
635,0.988634881
636,-0.653804065
637,-0.518148945
638,0.994392843
639,-0.665836602
640,0.988904304
641,0.894431737
642,0.891322286
643,-0.945508609
644,0.861714669
645,-0.990801113
646,-0.999676573
647,-0.743360974
648,0.971818835
649,0.956156658
650,-0.930527142
651,0.963060323
652,0.964228021
653,0.988527827
654,0.61294327
655,-0.999750903
656,-0.977093922
657,0.830696455
658,0.985836995
659,0.580508858
660,-0.940437198
661,-0.888063937
662,-0.913514393
663,0.753855595
664,-0.997871618
665,-0.894653593
666,-0.794812237
667,0.730555634
668,-0.854574304
669,0.978169408
670,0.605803323
671,0.945753712
672,-0.661090466
673,0.689687687
674,0.974416263
675,-0.845073509
676,0.945947733
677,-0.908674317
678,-0.835738599
679,-0.943297612
680,0.88790419
681,-0.813192606
682,0.932226116
683,0.900269572
684,0.968452418
685,-0.965390355
686,-0.869232165
687,-0.99919954
688,0.889794741
689,-0.734752672
690,-0.906313409
691,-0.690851988
692,0.657052996
693,-0.736114927
694,-0.981580947
695,0.698728318
696,-0.853864208
697,-0.545475765
698,0.910699698
699,-0.878276194
700,-0.964542388
701,0.944368151
702,-0.998141756
703,0.799536795
704,-0.944751244
